time,x,y,z,heartbeat,label
0.0,0.184021,0.6791687,-0.4769897,87.0,-1
30.0,-0.30101009999999995,0.8057098,0.4871674,95.0,-1
60.0,-0.3235168,0.9234466999999998,0.14636229999999997,84.0,-1
90.0,-0.5096741,0.8551025,-0.049118,85.0,-1
120.0,-0.3877563,0.9190674000000001,0.023757900000000002,82.0,-1
150.0,-0.4007416,0.9119873,0.0636597,86.0,-1
180.0,-0.2911072,0.9122620000000001,-0.2917175,86.0,-1
210.0,-0.053283699999999996,0.24208070000000004,-0.9734649999999999,79.0,-1
240.0,-0.0886383,0.22438049999999998,-0.9740448,81.0,-1
270.0,-0.0797729,0.2204437,-0.9763947000000001,84.0,-1
300.0,-0.06503300000000001,0.21998600000000001,-0.9733886999999999,85.0,-1
330.0,-0.062042200000000006,0.2160034,-0.979187,81.0,-1
360.0,-0.263382,0.6087189000000001,-0.7441101,90.0,-1
390.0,-0.44996640000000004,0.9234924000000001,0.15779110000000002,90.0,0
420.0,-0.5913695999999999,0.8312683000000001,-0.209198,101.0,0
450.0,-0.23526,0.204071,0.9446869000000001,89.0,0
480.0,-0.3341522,-0.3003235,0.88974,82.0,0
510.0,-0.33329770000000003,-0.2511749,0.8923645,84.0,0
540.0,-0.2864685,0.103775,0.9980926999999999,83.0,0
570.0,-0.8572235,0.39527890000000004,0.47184750000000003,85.0,0
600.0,-0.3477783,-0.0318146,0.931366,93.0,0
630.0,-0.26756290000000005,-0.254837,0.9244232,87.0,0
660.0,-0.2754517,-0.3607788,0.8821716000000001,86.0,0
690.0,-0.2716064,-0.3410645,0.8903503,85.0,0
720.0,-0.272583,-0.34793090000000004,0.892334,86.0,0
750.0,-0.27308649999999995,-0.3464508,0.8932953000000001,86.0,0
780.0,-0.2740631,-0.34303279999999997,0.8903503,89.0,0
810.0,-0.27259829999999996,-0.3444824,0.892807,88.0,0
840.0,-0.27307129999999996,-0.34646609999999994,0.8908690999999999,87.0,0
870.0,-0.2696686,-0.3429871,0.8947601000000001,86.0,0
900.0,-0.27064509999999997,-0.3434906,0.8937835999999999,87.0,0
930.0,-0.27015690000000003,-0.34494020000000003,0.896225,86.0,0
960.0,-0.27015690000000003,-0.3429871,0.896225,86.0,0
990.0,-0.2696838,-0.33807370000000003,0.8957062,86.0,0
1020.0,-0.2672272,-0.3346252,0.8966675,87.0,0
1050.0,-0.25740050000000003,-0.34442140000000004,0.9001923000000001,95.0,0
1080.0,-0.267334,-0.3099976,0.9062653,82.0,0
1110.0,-0.26678470000000004,-0.330658,0.9020081,84.0,0
1140.0,-0.2653046,-0.3291779,0.9024963,86.0,0
1170.0,-0.26539609999999997,-0.30456540000000004,0.9096527,86.0,0
1200.0,-0.2629395,-0.30505370000000004,0.909668,86.0,0
1230.0,-0.2560883,-0.30352779999999996,0.9155426,89.0,0
1260.0,-0.2570496,-0.30700679999999997,0.9116669,85.0,0
1290.0,-0.256073,-0.30749509999999997,0.9121551999999999,84.0,0
1320.0,-0.252121,-0.305542,0.9092406999999999,86.0,0
1350.0,-0.2560883,-0.30010990000000004,0.9145508,85.0,0
1380.0,-0.25787350000000003,-0.3424683,0.8982391,83.0,0
1410.0,-0.256958,-0.3321075,0.9045105,84.0,1
1440.0,-0.25645450000000003,-0.32966609999999996,0.9020690999999998,81.0,1
1470.0,-0.25746149999999995,-0.3291473,0.9064331,82.0,1
1500.0,-0.25596620000000003,-0.3267212,0.9030151,83.0,1
1530.0,-0.2559967,-0.32325740000000003,0.9059296,83.0,2
1560.0,-0.25746149999999995,-0.3203278,0.9039459000000001,82.0,2
1590.0,-0.2565918,-0.2976379,0.9154968000000001,86.0,2
1620.0,-0.26669309999999996,-0.2238464,0.9320374,82.0,2
1650.0,-0.2632446,-0.22579960000000002,0.9335326999999999,80.0,2
1680.0,-0.2627563,-0.2218781,0.9325409,81.0,2
1710.0,-0.2627716,-0.22283939999999997,0.9340056999999999,85.0,2
1740.0,-0.2622833,-0.21449279999999998,0.9329834000000001,83.0,2
1770.0,-0.2642822,-0.2129974,0.9368591000000001,80.0,2
1800.0,-0.26573179999999996,-0.2154694,0.9339447,81.0,2
1830.0,-0.2647552,-0.2130127,0.9349059999999999,82.0,2
1860.0,-0.2603455,-0.21104429999999996,0.9354094999999999,81.0,2
1890.0,-0.26478579999999996,-0.2090759,0.9363403,80.0,2
1920.0,-0.26330570000000003,-0.2105255,0.9387969999999999,85.0,2
1950.0,-0.26382449999999996,-0.2055969,0.9402161,82.0,2
1980.0,-0.2642822,-0.2090607,0.9368286,81.0,2
2010.0,-0.26478579999999996,-0.2105408,0.9378052,82.0,2
2040.0,-0.26281740000000003,-0.2105408,0.9368439000000001,82.0,2
2070.0,-0.26527399999999995,-0.21003720000000003,0.9387816999999999,83.0,3
2100.0,-0.2687225,-0.2105408,0.9373016,82.0,3
2130.0,-0.2642975,-0.20561220000000002,0.9382782,84.0,3
2160.0,-0.2652893,-0.2080688,0.9387665000000001,83.0,3
2190.0,-0.2662659,-0.20318599999999998,0.935318,84.0,3
2220.0,-0.26676940000000005,-0.2021942,0.9367675999999999,86.0,3
2250.0,-0.26826479999999997,-0.20509339999999998,0.9421386999999999,85.0,3
2280.0,-0.26873779999999997,-0.20120239999999998,0.9382171999999999,86.0,3
2310.0,-0.2687988,-0.1795654,0.9405212,84.0,3
2340.0,-0.2648773,-0.1820068,0.9420165999999999,85.0,3
2370.0,-0.2673492,-0.1795349,0.9444275,85.0,3
2400.0,-0.26930240000000005,-0.1800385,0.9434357,85.0,3
2430.0,-0.2663727,-0.17855829999999998,0.9444275,85.0,3
2460.0,-0.2653656,-0.17808529999999997,0.9419860999999999,84.0,3
2490.0,-0.26834109999999994,-0.17805479999999999,0.9453888,85.0,3
2520.0,-0.26586909999999997,-0.1790619,0.9429626,85.0,3
2550.0,-0.2658844,-0.17805479999999999,0.9449158000000001,85.0,3
2580.0,-0.2709656,-0.1278839,0.9548035,85.0,3
2610.0,-0.2675018,-0.1274261,0.951416,85.0,3
2640.0,-0.2719269,-0.1249695,0.950882,82.0,3
2670.0,-0.2694855,-0.12298579999999999,0.9523468,85.0,3
2700.0,-0.2714539,-0.12544249999999998,0.9523468,84.0,3
2730.0,-0.2690125,-0.121994,0.9547728999999999,85.0,3
2760.0,-0.269989,-0.1220093,0.9533081,87.0,3
2790.0,-0.26947020000000005,-0.12495419999999999,0.9518738000000001,85.0,3
2820.0,-0.2684937,-0.1220245,0.950882,85.0,3
2850.0,-0.2704773,-0.12004089999999999,0.9528046,86.0,3
2880.0,-0.26850890000000005,-0.12004089999999999,0.9533081,85.0,3
2910.0,-0.2704773,-0.121994,0.9542847,85.0,3
2940.0,-0.2699738,-0.1210327,0.9518433000000001,85.0,3
2970.0,-0.2675171,-0.1220093,0.9523468,86.0,3
3000.0,-0.269989,-0.12249760000000001,0.9533081,85.0,3
3030.0,-0.2699738,-0.1215363,0.9503784,88.0,3
3060.0,-0.2704773,-0.12052919999999999,0.9528046,85.0,3
3090.0,-0.26850890000000005,-0.12150570000000001,0.9533234,86.0,3
3120.0,-0.2729187,-0.121521,0.9513396999999999,86.0,3
